url,title,CTR,time
http://www.dxy.cn/bbs/topic/33481157,丁香园 App 总是升级失败？解决方法在这里,3595,2016-04-11
http://news.dxy.cn/bbs/topic/7560523,【版务】加分申诉点击,44340,2006-11-20
http://news.dxy.cn/bbs/topic/27824134,资讯频道附件上传专用,32678,2014-03-22
http://news.dxy.cn/bbs/topic/22202798,版务管理之【举报和合并加分专贴】仅限于10分以下战友,3584,2012-02-14
http://news.dxy.cn/bbs/topic/32771710,【发帖须知】玩转动态版,129,2016-01-21
http://news.dxy.cn/bbs/topic/8600034,【版务】科技动态版版规及加分细则（ 2014-02-21 更新）,28939,2007-03-28
http://news.dxy.cn/bbs/topic/22661869,==动态版版主值班表==2015年6月更新,7787,2012-04-05
http://news.dxy.cn/bbs/topic/16482888,【科普】形体效应,1138,2010-01-26
http://news.dxy.cn/bbs/topic/30635638,每日生物医药科技动态汇编2015年4月,912,2015-04-02
http://news.dxy.cn/bbs/topic/31757534,每日生物医药科技动态汇编2015年9月,609,2015-09-02
http://news.dxy.cn/bbs/topic/30870856,每日生物医药科技动态汇编 2015年5月,689,2015-05-01
http://news.dxy.cn/bbs/topic/31321722,每日生物医药科技动态汇编2015年7月1日,610,2015-07-02
http://news.dxy.cn/bbs/topic/28177620,每日生物医药科技动态汇编 2014年5月,924,2014-05-01
http://news.dxy.cn/bbs/topic/31970472,每日生物医药科技动态汇编2015年10月,538,2015-10-01
http://news.dxy.cn/bbs/topic/29859412,每日生物医药科技动态汇编2015年1月,916,2015-01-01
http://news.dxy.cn/bbs/topic/29233997,每日生物医药科技动态汇编10月,748,2014-10-01
http://news.dxy.cn/bbs/topic/32385661,每日生物医药科技动态汇编2015年12月,486,2015-12-01
http://news.dxy.cn/bbs/topic/28600435,每日生物医药科技动态汇编7月,757,2014-07-01
http://news.dxy.cn/bbs/topic/29433976,每日生物医药科技动态汇编2014年11月,589,2014-11-03
http://news.dxy.cn/bbs/topic/30093057,每日生物医药科技动态汇编2015年2月,576,2015-02-02
http://news.dxy.cn/bbs/topic/29027757,每日生物医药科技动态汇编2014年9月,624,2014-09-01
http://news.dxy.cn/bbs/topic/32835394,每日生物医药动态新闻报道汇集 2016年2月,409,2016-02-01
http://news.dxy.cn/bbs/topic/29799742,nature杂志回顾2014年,877,2014-12-26
http://news.dxy.cn/bbs/topic/31098190,2015年5月动态版风云榜,290,2015-06-01
http://news.dxy.cn/bbs/topic/29945806,动态版新年活动——我想怎样做科研,406,2015-01-12
http://news.dxy.cn/bbs/topic/29431351,2014年10月动态版风云榜,321,2014-11-02
http://news.dxy.cn/bbs/topic/29235832,2014年9月动态版风云榜,272,2014-10-01
http://news.dxy.cn/bbs/topic/28830255,2014年7月动态版风云榜,368,2014-08-01
http://news.dxy.cn/bbs/topic/29028681,2014年8月动态版风云榜,281,2014-09-01
http://news.dxy.cn/bbs/topic/31747636,2015年8月动态版风云榜,218,2015-09-01
http://news.dxy.cn/bbs/topic/30871989,2015年4月动态版风云榜,284,2015-05-01
http://news.dxy.cn/bbs/topic/32622653,2015年12月动态版风云榜,190,2016-01-01
http://news.dxy.cn/bbs/topic/30657543,2015年3月动态版风云榜,248,2015-04-04
http://news.dxy.cn/bbs/topic/32412618,【热点话题讨论】子版 活动告知,208,2015-12-05
